City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Starosubkhangulovo,RU,53.1031,57.4423,67.39,54,39,1.7,scattered clouds
284,Krasnoselkup,RU,65.7,82.4667,37.9,90,100,14.85,light rain
285,Leshukonskoye,RU,64.8989,45.7622,60.69,81,82,3.96,broken clouds
286,Peterhead,GB,57.5058,-1.7981,62.46,77,50,6.49,scattered clouds
287,Berlevag,NO,70.8578,29.0864,51.8,87,100,6.91,overcast clouds
288,Sarangani,PH,5.4033,125.4636,83.7,73,74,12.03,broken clouds
289,Buin,CL,-33.7333,-70.75,86.43,21,0,2.46,clear sky
290,Tibacuy,CO,4.3511,-72.4564,88.59,56,56,5.86,broken clouds
291,Russell,US,32.3502,-85.1999,89.38,66,20,6.91,few clouds
292,Balkanabat,TM,39.5108,54.3671,86.68,15,0,5.77,clear sky
293,Key Biscayne,US,25.6937,-80.1628,93.02,72,75,5.75,broken clouds
294,Saint-Philippe,RE,-21.3585,55.7679,71.22,86,44,8.05,scattered clouds
295,Gazanjyk,TM,39.2446,55.5154,82.6,15,0,7.87,clear sky
296,Angren,UZ,41.0167,70.1436,66.09,24,0,1.23,clear sky
297,Shubarshi,KZ,48.5872,57.1869,75.34,36,44,6.06,scattered clouds
298,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,11.5,broken clouds
299,Olafsvik,IS,64.8945,-23.7142,52.48,85,100,15.5,overcast clouds
300,Dabakala,CI,8.3667,-4.4333,73.71,94,95,6.71,light rain
301,Henties Bay,NA,-22.116,14.2845,54.52,89,0,11.12,clear sky
302,Esperance,AU,-33.8667,121.9,51.71,61,96,8.39,overcast clouds
303,Poronaysk,RU,49.2167,143.1167,54.25,91,58,5.39,broken clouds
304,Grand Gaube,MU,-20.0064,57.6608,72.37,77,17,5.01,few clouds
305,Svetlogorsk,BY,52.6333,29.7333,62.06,74,91,3.85,overcast clouds
306,Sistranda,NO,63.7256,8.834,53.56,79,26,9.86,scattered clouds
307,Progreso,MX,21.2833,-89.6667,89.46,58,10,8.03,clear sky
308,Westerly,US,41.3776,-71.8273,82.62,72,0,13.8,clear sky
309,Wajima,JP,37.4,136.9,70.97,66,60,12.57,broken clouds
310,Zeya,RU,53.75,127.2667,51.58,88,11,3.71,few clouds
311,Arouca,TT,10.6333,-61.3333,89.31,58,40,5.75,scattered clouds
312,Shache,CN,38.4167,77.2406,66.9,53,100,6.44,overcast clouds
313,Newburgh,US,41.5034,-74.0104,84.85,64,75,10.36,broken clouds
314,Auki,SB,-8.7676,160.7034,75.34,89,27,4.76,scattered clouds
315,Taranto,IT,40.6167,17.25,77.86,65,92,3.74,overcast clouds
316,Dvinskoy,RU,62.1535,45.1175,66.11,69,25,4.45,scattered clouds
317,Fort Frances,CA,48.5999,-93.4003,78.17,65,100,8.05,overcast clouds
318,Tulay,PH,14.2697,120.7692,76.77,89,78,0.49,broken clouds
319,Ugoofaaru,MV,5.6667,73.0,80.01,83,91,17.56,heavy intensity rain
320,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,75,19.57,broken clouds
321,Lagoa,PT,39.05,-27.9833,71.35,69,100,15.01,overcast clouds
322,North Bend,US,43.4065,-124.2243,71.24,78,0,13.8,clear sky
323,Manyoni,TZ,-5.7467,34.8382,74.08,39,89,10.83,overcast clouds
